Repetição,Protocolo,BER,Delay,Largura de Banda UDP,Timestamp,IP PC1,Porta PC1,IP PC2,Porta PC2,ID,Intervalo,Taxa de Transferência,Largura de Banda TCP
0,cubic,100000,10000,10M,20240318150617,10.0.0.20,35142,10.0.1.20,5001,3,0.0-10.5,786432,598366
0,cubic,100000,100000,10M,20240318150630,10.0.0.20,51460,10.0.1.20,5001,3,0.0-11.8,917504,621544
0,cubic,1000000,10000,10M,20240318150644,10.0.0.20,37122,10.0.1.20,5001,3,0.0-13.9,1179648,677528
0,cubic,1000000,100000,10M,20240318150656,10.0.0.20,40512,10.0.1.20,5001,3,0.0-11.9,786432,528411
0,reno,100000,10000,10M,20240318150709,10.0.0.20,51480,10.0.1.20,5001,3,0.0-12.3,786432,509476
0,reno,100000,100000,10M,20240318150723,10.0.0.20,36548,10.0.1.20,5001,3,0.0-14.0,2293632,1314410
0,reno,1000000,10000,10M,20240318150738,10.0.0.20,37532,10.0.1.20,5001,3,0.0-14.4,1618864,899598
0,reno,1000000,100000,10M,20240318150749,10.0.0.20,47448,10.0.1.20,5001,3,0.0-10.8,917504,677870
1,cubic,100000,10000,10M,20240318150801,10.0.0.20,42130,10.0.1.20,5001,3,0.0-10.4,917504,704921
1,cubic,100000,100000,10M,20240318150815,10.0.0.20,51650,10.0.1.20,5001,3,0.0-13.3,917504,552702
1,cubic,1000000,10000,10M,20240318150826,10.0.0.20,46054,10.0.1.20,5001,3,0.0-10.6,1703936,1284105
1,cubic,1000000,100000,10M,20240318150838,10.0.0.20,51060,10.0.1.20,5001,3,0.0-12.2,1703936,1113274
1,reno,100000,10000,10M,20240318150850,10.0.0.20,57932,10.0.1.20,5001,3,0.0-11.1,1048576,755993
1,reno,100000,100000,10M,20240318150902,10.0.0.20,55004,10.0.1.20,5001,3,0.0-11.9,786432,530068
1,reno,1000000,10000,10M,20240318150913,10.0.0.20,54828,10.0.1.20,5001,3,0.0-10.9,467008,342623
1,reno,1000000,100000,10M,20240318150925,10.0.0.20,37394,10.0.1.20,5001,3,0.0-10.4,786432,604422
2,cubic,100000,10000,10M,20240318150938,10.0.0.20,38012,10.0.1.20,5001,3,0.0-12.6,1966080,1246461
2,cubic,100000,100000,10M,20240318150950,10.0.0.20,42234,10.0.1.20,5001,3,0.0-10.9,1179648,869322
2,cubic,1000000,10000,10M,20240318151001,10.0.0.20,36582,10.0.1.20,5001,3,0.0-10.6,865904,652746
2,cubic,1000000,100000,10M,20240318151013,10.0.0.20,37386,10.0.1.20,5001,3,0.0-12.6,1048576,666955
2,reno,100000,10000,10M,20240318151025,10.0.0.20,40410,10.0.1.20,5001,3,0.0-11.1,1048576,753491
2,reno,100000,100000,10M,20240318151036,10.0.0.20,53166,10.0.1.20,5001,3,0.0-11.0,917504,666766
2,reno,1000000,10000,10M,20240318151049,10.0.0.20,33192,10.0.1.20,5001,3,0.0-12.0,1179648,786705
2,reno,1000000,100000,10M,20240318151101,10.0.0.20,36256,10.0.1.20,5001,3,0.0-11.8,1048576,711983
3,cubic,100000,10000,10M,20240318151114,10.0.0.20,55108,10.0.1.20,5001,3,0.0-12.3,1572864,1025588
3,cubic,100000,100000,10M,20240318151125,10.0.0.20,39970,10.0.1.20,5001,3,0.0-10.8,1152608,850613
3,cubic,1000000,10000,10M,20240318151139,10.0.0.20,55602,10.0.1.20,5001,3,0.0-13.7,1663752,971236
3,cubic,1000000,100000,10M,20240318151153,10.0.0.20,32888,10.0.1.20,5001,3,0.0-13.4,917504,547926
3,reno,100000,10000,10M,20240318151208,10.0.0.20,46774,10.0.1.20,5001,3,0.0-14.7,2240056,1216768
3,reno,100000,100000,10M,20240318151219,10.0.0.20,46214,10.0.1.20,5001,3,0.0-11.1,836944,603208
3,reno,1000000,10000,10M,20240318151231,10.0.0.20,57832,10.0.1.20,5001,3,0.0-11.5,1805712,1261299
3,reno,1000000,100000,10M,20240318151243,10.0.0.20,44982,10.0.1.20,5001,3,0.0-10.9,1872264,1377687
4,cubic,100000,10000,10M,20240318151254,10.0.0.20,45242,10.0.1.20,5001,3,0.0-10.0,786432,628572
4,cubic,100000,100000,10M,20240318151309,10.0.0.20,46478,10.0.1.20,5001,3,0.0-14.5,917504,506716
4,cubic,1000000,10000,10M,20240318151320,10.0.0.20,50514,10.0.1.20,5001,3,0.0-10.7,1179648,885644
4,cubic,1000000,100000,10M,20240318151331,10.0.0.20,56230,10.0.1.20,5001,3,0.0-11.5,786432,546939
4,reno,100000,10000,10M,20240318151344,10.0.0.20,46222,10.0.1.20,5001,3,0.0-12.1,655360,434859
4,reno,100000,100000,10M,20240318151356,10.0.0.20,39768,10.0.1.20,5001,3,0.0-11.4,1048576,737037
4,reno,1000000,10000,10M,20240318151408,10.0.0.20,36688,10.0.1.20,5001,3,0.0-10.7,1288720,959587
4,reno,1000000,100000,10M,20240318151421,10.0.0.20,35402,10.0.1.20,5001,3,0.0-11.9,1869368,1253780
5,cubic,100000,10000,10M,20240318151433,10.0.0.20,55132,10.0.1.20,5001,3,0.0-11.2,1179648,843990
5,cubic,100000,100000,10M,20240318151445,10.0.0.20,43778,10.0.1.20,5001,3,0.0-11.6,1179648,810077
5,cubic,1000000,10000,10M,20240318151455,10.0.0.20,40470,10.0.1.20,5001,3,0.0-10.1,3405696,2707243
5,cubic,1000000,100000,10M,20240318151511,10.0.0.20,47916,10.0.1.20,5001,3,0.0-15.0,857216,457844
5,reno,100000,10000,10M,20240318151522,10.0.0.20,57416,10.0.1.20,5001,3,0.0-11.4,917504,642164
5,reno,100000,100000,10M,20240318151533,10.0.0.20,35108,10.0.1.20,5001,3,0.0-10.4,786432,602530
5,reno,1000000,10000,10M,20240318151545,10.0.0.20,47948,10.0.1.20,5001,3,0.0-11.5,1933080,1340566
5,reno,1000000,100000,10M,20240318151559,10.0.0.20,44060,10.0.1.20,5001,3,0.0-13.7,917504,536642
6,cubic,100000,10000,10M,20240318151611,10.0.0.20,36954,10.0.1.20,5001,3,0.0-11.9,917504,615546
6,cubic,100000,100000,10M,20240318151623,10.0.0.20,51142,10.0.1.20,5001,3,0.0-10.8,1048576,775829
6,cubic,1000000,10000,10M,20240318151636,10.0.0.20,48440,10.0.1.20,5001,3,0.0-12.6,1048576,665021
6,cubic,1000000,100000,10M,20240318151648,10.0.0.20,58946,10.0.1.20,5001,3,0.0-12.3,1290168,838298
6,reno,100000,10000,10M,20240318151700,10.0.0.20,37532,10.0.1.20,5001,3,0.0-11.0,932568,679861
6,reno,100000,100000,10M,20240318151711,10.0.0.20,49060,10.0.1.20,5001,3,0.0-11.3,655360,463674
6,reno,1000000,10000,10M,20240318151723,10.0.0.20,52078,10.0.1.20,5001,3,0.0-11.5,786432,546565
6,reno,1000000,100000,10M,20240318151737,10.0.0.20,49654,10.0.1.20,5001,3,0.0-13.0,786432,485670
7,cubic,100000,10000,10M,20240318151748,10.0.0.20,36050,10.0.1.20,5001,3,0.0-10.6,786432,592420
7,cubic,100000,100000,10M,20240318151758,10.0.0.20,47390,10.0.1.20,5001,3,0.0-10.1,917504,729261
7,cubic,1000000,10000,10M,20240318151813,10.0.0.20,34818,10.0.1.20,5001,3,0.0-14.1,3133472,1774825
7,cubic,1000000,100000,10M,20240318151824,10.0.0.20,36300,10.0.1.20,5001,3,0.0-10.2,1179648,924089
7,reno,100000,10000,10M,20240318151838,10.0.0.20,50640,10.0.1.20,5001,3,0.0-13.1,519888,317095
7,reno,100000,100000,10M,20240318151850,10.0.0.20,59322,10.0.1.20,5001,3,0.0-11.6,2128560,1462438
7,reno,1000000,10000,10M,20240318151905,10.0.0.20,55154,10.0.1.20,5001,3,0.0-14.7,2364584,1283693
7,reno,1000000,100000,10M,20240318151918,10.0.0.20,55428,10.0.1.20,5001,3,0.0-13.1,1424888,872715
